Ano,Produto,Categoria,Evento,Coluna,Inicio,Fim
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,73,19/05/2026,12/08/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,73,18/07/2026,18/07/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,73,21/07/2026,21/07/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,73,15/08/2026,15/08/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,73,15/08/2026,15/08/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),73,22/09/2026,27/09/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),73,28/09/2026,29/09/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),73,28/09/2026,28/09/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),73,30/09/2026,01/10/2026
2026,Profissionalizantes,Lançamento de notas,Lançamento de notas,73,21/09/2026,21/09/2026
2026,Profissionalizantes,Outras rotinas,Processo de Evasão,73,14/12/2026,18/12/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),73,30/04/2026,30/04/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,73,23/04/2026,23/04/2026
2026,Profissionalizantes,Período letivo,Período letivo,73,20/07/2026,19/09/2026
2026,Profissionalizantes,Rematrícula automática,Rematrícula automática do módulo,73,20/07/2026,21/08/2026
2026,Profissionalizantes,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),73,16/03/2026,16/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,73,19/05/2026,17/08/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso,73,20/05/2026,04/08/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,73,20/05/2026,12/08/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,73,21/08/2026,21/08/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,74,17/07/2026,24/09/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,74,18/08/2026,14/10/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,74,18/08/2026,14/10/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,74,26/09/2026,26/09/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,74,29/09/2026,29/09/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,74,17/10/2026,17/10/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,74,17/10/2026,17/10/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),74,01/12/2026,10/12/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),74,11/12/2026,12/12/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),74,11/12/2026,11/12/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),74,13/12/2026,14/12/2026
2026,Profissionalizantes,Lançamento de notas,Lançamento de notas,74,30/11/2026,30/11/2026
2026,Profissionalizantes,Outras rotinas,Processo de Evasão,74,16/03/2027,20/03/2027
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),74,16/07/2026,16/07/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,74,09/07/2026,09/07/2026
2026,Profissionalizantes,Período letivo,Período letivo,74,28/09/2026,28/11/2026
2026,Profissionalizantes,Rematrícula automática,Rematrícula automática do módulo,74,28/09/2026,23/10/2026
2026,Profissionalizantes,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),74,16/03/2026,16/03/2026
